Data,Último,Abertura,Máxima,Mínima,Vol,Variação
10/11/2020,105066.96,103516.37,105758.29,103452.64,16.67M,1.50%
11/11/2020,104808.83,105066.96,105462.33,104143.47,10.84M,-0.25%
12/11/2020,102507.01,104810.06,105018.66,102033.75,10.86M,-2.20%
13/11/2020,104723,102508.77,104725.79,102508.77,9.77M,2.16%
16/11/2020,106429.92,104728.51,106518.16,104728.51,11.72M,1.63%
17/11/2020,107248.63,106430.04,107810.31,105846.62,10.31M,0.77%
18/11/2020,106119.09,107245.54,107467.25,106043.35,10.34M,-1.05%
19/11/2020,106669.9,106117.26,106972.88,105545.37,8.56M,0.52%
20/11/2020,106042.48,106669.9,106763.96,105680.28,7.10M,-0.59%
23/11/2020,107378.92,106050.48,107495.35,106050.48,9.69M,1.26%
24/11/2020,109786.3,107377.95,109956.18,107360.58,11.93M,2.24%
25/11/2020,110132.53,109786.37,110595.81,109315.21,8.56M,0.32%
26/11/2020,110227.09,110132.53,110244.5,109418.33,6.17M,0.09%
27/11/2020,110575.47,110228.62,111603.41,110161.1,8.79M,0.32%
30/11/2020,108893.32,110598.01,110933.68,108829.15,19.30M,-1.52%
01/12/2020,111399.91,108897.29,111839.86,108897.29,11.32M,2.30%
02/12/2020,111878.53,111401.76,112315.42,110579.16,9.81M,0.43%
03/12/2020,112291.59,111873.88,113377.33,111873.88,11.47M,0.37%
04/12/2020,113750.22,112293.77,113863.73,112293.76,8.89M,1.30%
07/12/2020,113589.77,113750.5,114531.04,112629.18,9.63M,-0.14%
08/12/2020,113793.06,113589.77,114381.14,112820.31,8.81M,0.18%
09/12/2020,113001.16,113798.53,114020.4,112566.73,8.43M,-0.70%
10/12/2020,115128.63,113002.26,115261.71,112731.76,11.80M,1.88%
11/12/2020,115128,115127.74,115526.57,113949.39,8.37M,0.00%
14/12/2020,114611.12,115136.91,115740.1,114431,8.19M,-0.45%
15/12/2020,116148.63,114613.42,116389.82,114613.42,8.20M,1.34%
16/12/2020,117857.35,116148.97,118178.44,115495.75,9.81M,1.47%
17/12/2020,118400.57,117863.58,119027.05,117856.26,7.70M,0.46%
18/12/2020,118023.67,118395.23,119370.48,117638.24,8.64M,-0.32%
21/12/2020,115822.57,118020.94,118020.94,114730.05,10.35M,-1.86%
22/12/2020,116636.18,115824.66,116902.54,115648.34,6.95M,0.70%
23/12/2020,117806.85,116636.18,118311.44,116636.18,6.48M,1.00%
28/12/2020,119123.7,117805.56,119212.79,117804.95,7.17M,1.12%
29/12/2020,119409.15,119130.06,119860.91,118750.1,6.77M,0.24%
30/12/2020,119017.24,119409.85,120149.85,118919.43,8.24M,-0.33%
04/01/2021,118854.71,119024.29,120353.81,118061.77,8.74M,-0.14%
05/01/2021,119376.21,118834.88,119790.06,116756.08,9.26M,0.44%
06/01/2021,119100.08,119376.91,120924.32,118916.94,11.64M,-0.23%
07/01/2021,122385.92,119103.07,122696.64,119100.76,11.77M,2.76%
08/01/2021,125076.63,122387.43,125323.53,122385.76,11.09M,2.20%
11/01/2021,123255.13,125075.18,125075.18,122505.58,9.54M,-1.46%
12/01/2021,123998,123255.13,124584.33,123227.47,8.95M,0.60%
13/01/2021,121933.08,123996.2,124031.68,121015.6,10.29M,-1.67%
14/01/2021,123480.52,121946.67,123896.35,121946.67,8.97M,1.27%
15/01/2021,120348.8,123471.59,123471.59,120185.13,9.39M,-2.54%
